Institution ID,Institution Name,Total Student Count,LRE Students >80%,LRE Students >80% Target,LRE Students <40%,LRE Students <40% Target,LRE Students Separate Settings,LRE Students Separate Settings Target,Elementary School Participation ELA,Elementary School Participation ELA Target,Middle School Participation ELA,Middle School Participation ELA Target,High School Participation ELA,High School Participation ELA Target,Elementary School Meet/Exceed ELA,Elementary School Meet/Exceed ELA Target,Middle School Meet/Exceed ELA,Middle School Meet/Exceed ELA Target,High School Meet/Exceed ELA,High School Meet/Exceed ELA Target,Elementary School Participation Math,Elementary School Participation Math Target,Middle School Participation Math,Middle School Participation Math Target,High School Participation Math,High School Participation Math Target,Elementary School Meet/Exceed Math,Elementary School Meet/Exceed Math Target,Middle School Meet/Exceed Math,Middle School Meet/Exceed Math Target,High School Meet/Exceed Math,High School Meet/Exceed Math Target,Special Education Eligibility,Special Education Eligibility Target,Parent Involvement,Parent Involvement Target,Secondary Transition,Secondary Transition Target,Alternate Assessment Elementary ELA,Alternate Assessment Elementary ELA Target,Alternate Assessment Middle ELA,Alternate Assessment Middle ELA Target,Alternate Assessment High ELA,Alternate Assessment High School ELA Target,Alternate Assessment Elementary Math,Alternate Assessment Elementary Math Target,Alternate Assessment Middle Math,Alternate Assessment Middle Math Target,Alternate Assessment High Math,Alternate Assessment High School Math Target,Gap In Proficiency Elementary ELA,Gap In Proficiency Elementary ELA Target,Gap In Proficiency Middle ELA,Gap In Proficiency Middle ELA Target,Gap In Proficiency High School ELA,Gap In Proficiency High School ELA Target,Gap In Proficiency Elementary Math,Gap In Proficiency Elementary Math Target,Gap In Proficiency Middle Math,Gap In Proficiency Middle Math Target,Gap In Proficiency High School Math,Gap In Proficiency High School Math Target,Graduation Rate,Graduation Rate Target,Dropout Rate,Dropout Rate Target,Higher Ed,Higher Ed Target,Higher Ed/Employed,Higher Ed/Employed Target,Higher Ed/Training/Employed,Higher Ed/Training/Employed Target
1895,Huntington SD 16J,8,100.00%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2215,Imbler SD 11,34,97.06%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
3997,Ione SD R2,24,83.33%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2053,Jefferson County SD 509J,456,81.58%,77.00% or more,3.95%,8.40% or less,0.22%,1.60% or less,>95%,95.00%,80.49%,95.00%,83.33%,95.00%,<5%,26.93%,<5%,15.73%,<5%,27.53%,93.02%,95.00%,80.49%,95.00%,83.33%,95.00%,<5%,20.10%,<5%,9.75%,<5%,6.12%,100.00%,100.00%,60.00%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,23.46%,23.11%,26.29%,26.00%,14.61%,27.55%,15.08%,16.18%,15.56%,17.00%,5.10%,17.76%,77.78,82.00%,16.67%,11.82%,7.41%,34% or more,66.67%,58% or more,70.37%,76% or more
2140,Jefferson SD 14J,109,75.23%,77.00% or more,9.17%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,57.14%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,72.73,82.00%,18.18%,11.82%,66.67%,34% or more,83.33%,58% or more,83.33%,76% or more
1934,Jewell SD 8,19,94.74%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2008,John Day SD 3,91,58.24%,77.00% or more,12.09%,8.40% or less,1.10%,1.60% or less,70.00%,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,80.00%,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,71.43%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2107,Jordan Valley SD 3,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2219,Joseph SD 6,34,94.12%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2091,Junction City SD 69,280,71.79%,77.00% or more,9.64%,8.40% or less,2.86%,1.60% or less,82.86%,95.00%,76.19%,95.00%,55.00%,95.00%,6.90%,26.93%,12.50%,15.73%,*,27.53%,85.29%,95.00%,76.19%,95.00%,55.00%,95.00%,6.90%,20.10%,6.25%,9.75%,*,6.12%,98.04%,100.00%,64.29%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,26.73%,23.11%,20.53%,26.00%,*,27.55%,27.31%,16.18%,15.18%,17.00%,*,17.76%,38.46,82.00%,46.15%,11.82%,0.00%,34% or more,57.14%,58% or more,71.43%,76% or more
2109,Juntura SD 12,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2057,Klamath County SD,1174,64.82%,77.00% or more,8.60%,8.40% or less,0.34%,1.60% or less,88.24%,95.00%,88.66%,95.00%,76.39%,95.00%,13.27%,26.93%,5.26%,15.73%,10.42%,27.53%,88.24%,95.00%,87.63%,95.00%,75.00%,95.00%,12.24%,20.10%,<5%,9.75%,<5%,6.12%,98.27%,100.00%,70.37%,86.22%,85.71%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,30.00%,47.37%,*,47.79%,21.00%,23.11%,18.95%,26.00%,40.89%,27.55%,18.70%,16.18%,12.58%,17.00%,15.26%,17.76%,69.86,82.00%,16.44%,11.82%,21.43%,34% or more,71.43%,58% or more,71.43%,76% or more
2056,Klamath Falls City Schools,418,86.84%,77.00% or more,7.18%,8.40% or less,0.00%,1.60% or less,80.85%,95.00%,87.88%,95.00%,48.15%,95.00%,13.89%,26.93%,7.14%,15.73%,15.38%,27.53%,78.72%,95.00%,75.76%,95.00%,51.85%,95.00%,11.43%,20.10%,<5%,9.75%,7.14%,6.12%,98.57%,100.00%,78.57%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,23.42%,23.11%,36.19%,26.00%,30.77%,27.55%,27.52%,16.18%,21.54%,17.00%,14.66%,17.76%,70.37,82.00%,25.93%,11.82%,*,34% or more,*,58% or more,*,76% or more
2262,Knappa SD 4,100,80.00%,77.00% or more,5.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,90.00%,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,90.00%,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,95.65%,100.00%,75.00%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,66.67,82.00%,33.33%,11.82%,*,34% or more,*,58% or more,*,76% or more
2212,La Grande SD 1,385,74.55%,77.00% or more,7.53%,8.40% or less,0.00%,1.60% or less,>95%,95.00%,71.43%,95.00%,15.00%,95.00%,17.65%,26.93%,5.88%,15.73%,*,27.53%,94.44%,95.00%,70.37%,95.00%,15.00%,95.00%,21.21%,20.10%,<5%,9.75%,*,6.12%,92.86%,100.00%,52.38%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,28.40%,23.11%,35.87%,26.00%,*,27.55%,24.49%,16.18%,14.29%,17.00%,*,17.76%,40.00,82.00%,57.14%,11.82%,10.00%,34% or more,70.00%,58% or more,90.00%,76% or more
2059,Lake County SD 7,112,76.79%,77.00% or more,2.68%,8.40% or less,0.00%,1.60% or less,90.00%,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,90.00%,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,92.86%,100.00%,43.33%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1923,Lake Oswego SD 7J,827,84.64%,77.00% or more,1.45%,8.40% or less,1.33%,1.60% or less,81.82%,95.00%,75.61%,95.00%,62.82%,95.00%,46.30%,26.93%,27.12%,15.73%,48.84%,27.53%,77.27%,95.00%,71.95%,95.00%,61.54%,95.00%,54.90%,20.10%,21.43%,9.75%,26.19%,6.12%,98.99%,100.00%,77.36%,86.22%,100.00%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,31.27%,23.11%,42.55%,26.00%,21.37%,27.55%,24.26%,16.18%,40.70%,17.00%,26.07%,17.76%,85.53,82.00%,13.16%,11.82%,58.33%,34% or more,79.17%,58% or more,87.50%,76% or more
2101,Lebanon Community SD 9,725,86.34%,77.00% or more,7.72%,8.40% or less,0.00%,1.60% or less,85.96%,95.00%,84.62%,95.00%,60.00%,95.00%,8.70%,26.93%,12.50%,15.73%,<5%,27.53%,87.72%,95.00%,84.62%,95.00%,56.00%,95.00%,17.02%,20.10%,<5%,9.75%,<5%,6.12%,97.94%,100.00%,67.57%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,30.10%,23.11%,28.76%,26.00%,26.40%,27.55%,23.45%,16.18%,20.26%,17.00%,20.30%,17.76%,68.89,82.00%,24.44%,11.82%,13.64%,34% or more,59.09%,58% or more,81.82%,76% or more
2097,Lincoln County SD,741,65.05%,77.00% or more,19.03%,8.40% or less,0.81%,1.60% or less,86.00%,95.00%,75.34%,95.00%,69.09%,95.00%,6.98%,26.93%,5.88%,15.73%,20.59%,27.53%,86.00%,95.00%,73.97%,95.00%,70.91%,95.00%,9.30%,20.10%,<5%,9.75%,<5%,6.12%,93.55%,100.00%,78.79%,86.22%,64.29%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,21.50%,23.11%,22.02%,26.00%,28.17%,27.55%,12.89%,16.18%,8.42%,17.00%,13.14%,17.76%,70.00,82.00%,<5%,11.82%,22.22%,34% or more,33.33%,58% or more,55.56%,76% or more
2012,Long Creek SD 17,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2092,Lowell SD 71,112,77.68%,77.00% or more,3.57%,8.40% or less,1.79%,1.60% or less,83.33%,95.00%,72.73%,95.00%,80.00%,95.00%,10.00%,26.93%,*,15.73%,*,27.53%,83.33%,95.00%,72.73%,95.00%,80.00%,95.00%,<5%,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,>95%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,33.59%,23.11%,*,26.00%,*,27.55%,36.36%,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2085,Mapleton SD 32,24,100.00%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2094,Marcola SD 79J,92,95.65%,77.00% or more,2.17%,8.40% or less,2.17%,1.60% or less,40.00%,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,40.00%,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,71.43%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2090,McKenzie SD 68,34,82.35%,77.00% or more,0.00%,8.40% or less,8.82%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2256,McMinnville SD 40,911,75.85%,77.00% or more,14.60%,8.40% or less,1.10%,1.60% or less,92.22%,95.00%,>95%,95.00%,90.48%,95.00%,18.29%,26.93%,13.24%,15.73%,15.79%,27.53%,88.89%,95.00%,>95%,95.00%,90.48%,95.00%,17.72%,20.10%,11.76%,9.75%,<5%,6.12%,96.88%,100.00%,79.07%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,25.58%,23.11%,36.65%,26.00%,36.69%,27.55%,20.45%,16.18%,32.83%,17.00%,20.38%,17.76%,66.99,82.00%,24.27%,11.82%,14.00%,34% or more,58.00%,58% or more,68.00%,76% or more
2048,Medford SD 549C,2208,77.90%,77.00% or more,13.22%,8.40% or less,0.63%,1.60% or less,>95%,95.00%,92.54%,95.00%,79.58%,95.00%,20.30%,26.93%,9.09%,15.73%,20.79%,27.53%,>95%,95.00%,92.54%,95.00%,72.03%,95.00%,23.38%,20.10%,<5%,9.75%,7.69%,6.12%,98.34%,100.00%,74.07%,86.22%,80.00%,100.00%,25.00%,70.30%,30.00%,61.42%,50.00%,63.65%,12.50%,50.89%,40.00%,47.37%,50.00%,47.79%,18.17%,23.11%,31.33%,26.00%,29.15%,27.55%,12.93%,16.18%,18.15%,17.00%,17.67%,17.76%,66.06,82.00%,26.61%,11.82%,20.63%,34% or more,55.56%,58% or more,69.84%,76% or more
2205,Milton-Freewater Unified SD 7,232,77.16%,77.00% or more,7.76%,8.40% or less,0.00%,1.60% or less,>95%,95.00%,92.31%,95.00%,93.75%,95.00%,8.70%,26.93%,16.67%,15.73%,6.67%,27.53%,>95%,95.00%,84.62%,95.00%,93.75%,95.00%,<5%,20.10%,<5%,9.75%,<5%,6.12%,97.37%,100.00%,57.14%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,19.48%,23.11%,<5%,26.00%,20.21%,27.55%,22.97%,16.18%,8.41%,17.00%,8.60%,17.76%,52.63,82.00%,36.84%,11.82%,30.43%,34% or more,65.22%,58% or more,78.26%,76% or more
2249,Mitchell SD 55,178,84.27%,77.00% or more,11.80%,8.40% or less,0.00%,1.60% or less,69.23%,95.00%,75.00%,95.00%,80.00%,95.00%,*,26.93%,12.50%,15.73%,25.00%,27.53%,69.23%,95.00%,71.88%,95.00%,80.00%,95.00%,*,20.10%,<5%,9.75%,25.00%,6.12%,87.50%,100.00%,68.18%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,12.31%,26.00%,22.11%,27.55%,*,16.18%,8.35%,17.00%,<5%,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1925,Molalla River SD 35,439,80.41%,77.00% or more,5.47%,8.40% or less,2.51%,1.60% or less,83.72%,95.00%,76.47%,95.00%,73.91%,95.00%,23.53%,26.93%,13.04%,15.73%,<5%,27.53%,86.05%,95.00%,73.53%,95.00%,69.57%,95.00%,22.86%,20.10%,<5%,9.75%,<5%,6.12%,90.48%,100.00%,78.57%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,17.33%,23.11%,21.81%,26.00%,37.31%,27.55%,7.25%,16.18%,22.83%,17.00%,25.76%,17.76%,84.21,82.00%,10.53%,11.82%,0.00%,34% or more,75.00%,58% or more,75.00%,76% or more
1898,Monroe SD 1J,55,76.36%,77.00% or more,9.09%,8.40% or less,1.82%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,100.00%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,66.67,82.00%,16.67%,11.82%,*,34% or more,*,58% or more,*,76% or more
2010,Monument SD 8,7,85.71%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2147,Morrow SD 1,366,88.80%,77.00% or more,2.46%,8.40% or less,0.00%,1.60% or less,94.12%,95.00%,>95%,95.00%,>95%,95.00%,13.33%,26.93%,9.09%,15.73%,<5%,27.53%,94.12%,95.00%,>95%,95.00%,>95%,95.00%,6.67%,20.10%,<5%,9.75%,<5%,6.12%,95.24%,100.00%,88.14%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,16.93%,23.11%,17.90%,26.00%,37.98%,27.55%,23.46%,16.18%,17.07%,17.00%,14.04%,17.76%,85.71,82.00%,<5%,11.82%,0.00%,34% or more,62.50%,58% or more,75.00%,76% or more
2145,Mt Angel SD 91,101,81.19%,77.00% or more,0.00%,8.40% or less,3.96%,1.60% or less,*,95.00%,92.86%,95.00%,*,95.00%,*,26.93%,<5%,15.73%,*,27.53%,*,95.00%,92.86%,95.00%,*,95.00%,*,20.10%,<5%,9.75%,*,6.12%,100.00%,100.00%,68.18%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,42.42%,26.00%,*,27.55%,*,16.18%,26.15%,17.00%,*,17.76%,87.50,82.00%,<5%,11.82%,0.00%,34% or more,88.89%,58% or more,88.89%,76% or more
1968,Myrtle Point SD 41,92,72.83%,77.00% or more,6.52%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,90.00%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2198,Neah-Kah-Nie SD 56,117,78.63%,77.00% or more,4.27%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,91.67%,95.00%,*,26.93%,*,15.73%,18.18%,27.53%,*,95.00%,*,95.00%,81.82%,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,87.50%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,26.72%,27.55%,*,16.18%,*,17.00%,*,17.76%,60.00,82.00%,10.00%,11.82%,6.67%,34% or more,80.00%,58% or more,80.00%,76% or more
2199,Nestucca Valley SD 101J,69,73.91%,77.00% or more,13.04%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2254,Newberg SD 29J,657,89.19%,77.00% or more,2.13%,8.40% or less,0.91%,1.60% or less,90.48%,95.00%,85.45%,95.00%,60.00%,95.00%,23.21%,26.93%,17.50%,15.73%,19.35%,27.53%,87.30%,95.00%,83.64%,95.00%,56.36%,95.00%,25.93%,20.10%,12.82%,9.75%,10.34%,6.12%,97.42%,100.00%,73.21%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,26.79%,23.11%,24.55%,26.00%,32.14%,27.55%,26.27%,16.18%,29.68%,17.00%,11.46%,17.76%,76.60,82.00%,8.51%,11.82%,12.50%,34% or more,50.00%,58% or more,100.00%,76% or more
1966,North Bend SD 13,493,67.75%,77.00% or more,7.91%,8.40% or less,0.20%,1.60% or less,63.16%,95.00%,69.77%,95.00%,46.34%,95.00%,14.29%,26.93%,<5%,15.73%,21.43%,27.53%,60.53%,95.00%,67.44%,95.00%,41.46%,95.00%,25.00%,20.10%,<5%,9.75%,8.33%,6.12%,100.00%,100.00%,81.58%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,32.61%,23.11%,39.22%,26.00%,26.57%,27.55%,22.55%,16.18%,24.30%,17.00%,13.35%,17.76%,75.44,82.00%,17.54%,11.82%,12.50%,34% or more,43.75%,58% or more,50.00%,76% or more
1924,North Clackamas SD 12,2946,71.28%,77.00% or more,9.16%,8.40% or less,0.24%,1.60% or less,83.94%,95.00%,81.61%,95.00%,74.78%,95.00%,23.85%,26.93%,11.56%,15.73%,16.88%,27.53%,83.58%,95.00%,80.80%,95.00%,74.78%,95.00%,24.88%,20.10%,10.98%,9.75%,<5%,6.12%,98.29%,100.00%,74.93%,86.22%,*,100.00%,25.00%,70.30%,*,61.42%,50.00%,63.65%,8.33%,50.89%,*,47.37%,33.33%,47.79%,22.80%,23.11%,21.54%,26.00%,29.20%,27.55%,17.75%,16.18%,13.40%,17.00%,17.31%,17.76%,81.25,82.00%,16.67%,11.82%,34.43%,34% or more,67.21%,58% or more,75.41%,76% or more
1996,North Douglas SD 22,74,63.51%,77.00% or more,10.81%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,66.67%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2061,North Lake SD 14,59,93.22%,77.00% or more,5.08%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,77.78%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,71.43,82.00%,14.29%,11.82%,*,34% or more,*,58% or more,*,76% or more
2141,North Marion SD 15,276,69.93%,77.00% or more,15.58%,8.40% or less,0.72%,1.60% or less,84.62%,95.00%,>95%,95.00%,57.14%,95.00%,10.00%,26.93%,20.83%,15.73%,<5%,27.53%,84.62%,95.00%,>95%,95.00%,66.67%,95.00%,10.00%,20.10%,8.33%,9.75%,<5%,6.12%,95.83%,100.00%,79.59%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,30.00%,23.11%,<5%,26.00%,38.78%,27.55%,18.95%,16.18%,<5%,17.00%,<5%,17.76%,63.64,82.00%,27.27%,11.82%,20.00%,34% or more,66.67%,58% or more,73.33%,76% or more
