Institution ID,Institution Name,Total Student Count,LRE Students >80%,LRE Students >80% Target,LRE Students <40%,LRE Students <40% Target,LRE Students Separate Settings,LRE Students Separate Settings Target,Elementary School Participation ELA,Elementary School Participation ELA Target,Middle School Participation ELA,Middle School Participation ELA Target,High School Participation ELA,High School Participation ELA Target,Elementary School Meet/Exceed ELA,Elementary School Meet/Exceed ELA Target,Middle School Meet/Exceed ELA,Middle School Meet/Exceed ELA Target,High School Meet/Exceed ELA,High School Meet/Exceed ELA Target,Elementary School Participation Math,Elementary School Participation Math Target,Middle School Participation Math,Middle School Participation Math Target,High School Participation Math,High School Participation Math Target,Elementary School Meet/Exceed Math,Elementary School Meet/Exceed Math Target,Middle School Meet/Exceed Math,Middle School Meet/Exceed Math Target,High School Meet/Exceed Math,High School Meet/Exceed Math Target,Special Education Eligibility,Special Education Eligibility Target,Parent Involvement,Parent Involvement Target,Secondary Transition,Secondary Transition Target,Alternate Assessment Elementary ELA,Alternate Assessment Elementary ELA Target,Alternate Assessment Middle ELA,Alternate Assessment Middle ELA Target,Alternate Assessment High ELA,Alternate Assessment High School ELA Target,Alternate Assessment Elementary Math,Alternate Assessment Elementary Math Target,Alternate Assessment Middle Math,Alternate Assessment Middle Math Target,Alternate Assessment High Math,Alternate Assessment High School Math Target,Gap In Proficiency Elementary ELA,Gap In Proficiency Elementary ELA Target,Gap In Proficiency Middle ELA,Gap In Proficiency Middle ELA Target,Gap In Proficiency High School ELA,Gap In Proficiency High School ELA Target,Gap In Proficiency Elementary Math,Gap In Proficiency Elementary Math Target,Gap In Proficiency Middle Math,Gap In Proficiency Middle Math Target,Gap In Proficiency High School Math,Gap In Proficiency High School Math Target,SuspExplFg,SuspExplFg Target (% of Districts),SuspExplRaceEthnicityFg,SuspExplRaceEthnicityFg Target (% of Districts),DisPrptnRprsntnFg,DisPrptnRprsntnFg Target (% of Districts),DisPrptnRprsntnDsbltyFg,DisPrptnRprsntnDsbltyFg Target (% of Districts),IEP 4Yr Cohort Grad 18-19,IEP 4Yr Cohort Grad 18-19 Target,IEP Dropout 18-19,IEP Dropout 18-19 Target,Higher Ed,Higher Ed Target,Higher Ed/Employed,Higher Ed/Employed Target,Higher Ed/Training/Employed,Higher Ed/Training/Employed Target
2054,Grants Pass SD 7,737,64.04%,76.00% or more,14.52%,9.00% or less,0.14%,1.70% or less,89.61%,95.00%,88.00%,95.00%,78.69%,95.00%,22.03%,26.86%,5.00%,15.52%,12.82%,26.12%,89.61%,95.00%,84.00%,95.00%,73.77%,95.00%,16.95%,19.71%,<5%,9.18%,5.41%,5.58%,100.00%,100.00%,76.92%,84.45%,57.14%,100.00%,50.00%,56.04%,50.00%,48.15%,66.67%,57.10%,40.00%,37.35%,*,40.89%,62.50%,44.72%,15.11%,23.72%,45.59%,27.88%,44.84%,28.54%,12.84%,18.18%,27.43%,19.00%,17.42%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,72.6,80.00%,27.40%,12.52%,12.50%,32.00% or more,56.25%,56.00% or more,68.75%,74.00% or more
2100,Greater Albany Public SD 8J,1328,74.10%,76.00% or more,7.30%,9.00% or less,0.38%,1.70% or less,88.76%,95.00%,85.83%,95.00%,84.69%,95.00%,9.72%,26.86%,5.00%,15.52%,5.00%,26.12%,86.52%,95.00%,85.83%,95.00%,84.69%,95.00%,12.86%,19.71%,<5%,9.18%,<5%,5.58%,97.30%,100.00%,75.29%,84.45%,0.00%,100.00%,42.86%,56.04%,*,48.15%,*,57.10%,14.29%,37.35%,*,40.89%,*,44.72%,33.91%,23.72%,35.98%,27.88%,36.81%,28.54%,28.06%,18.18%,18.14%,19.00%,18.86%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,50,80.00%,40.52%,12.52%,17.54%,32.00% or more,80.70%,56.00% or more,84.21%,74.00% or more
2183,Gresham-Barlow SD 10J,1557,70.97%,76.00% or more,8.73%,9.00% or less,1.67%,1.70% or less,80.56%,95.00%,89.26%,95.00%,66.14%,95.00%,13.75%,26.86%,8.91%,15.52%,11.69%,26.12%,78.70%,95.00%,89.26%,95.00%,60.63%,95.00%,12.82%,19.71%,<5%,9.18%,<5%,5.58%,98.31%,100.00%,86.08%,84.45%,62.50%,100.00%,14.29%,56.04%,<5%,48.15%,28.57%,57.10%,14.29%,37.35%,42.86%,40.89%,28.57%,44.72%,16.98%,23.72%,33.69%,27.88%,32.52%,28.54%,10.15%,18.18%,16.17%,19.00%,15.08%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,46.81,80.00%,42.55%,12.52%,25.40%,32.00% or more,63.49%,56.00% or more,76.19%,74.00% or more
2014,Harney County SD 3,109,81.65%,76.00% or more,5.50%,9.00% or less,2.75%,1.70% or less,92.31%,95.00%,*,95.00%,<5%,95.00%,9.09%,26.86%,*,15.52%,*,26.12%,92.31%,95.00%,*,95.00%,<5%,95.00%,9.09%,19.71%,*,9.18%,*,5.58%,100.00%,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,9.96%,23.72%,*,27.88%,*,28.54%,16.31%,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,90.91,80.00%,0.00%,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2015,Harney County SD 4,98,98.98%,76.00% or more,0.00%,9.00% or less,0.00%,1.70% or less,41.67%,95.00%,38.46%,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,41.67%,95.00%,38.46%,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,95.83%,100.00%,57.14%,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,57.14,80.00%,0.00%,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2023,Harney County Union High SD 1J,83,100.00%,76.00% or more,0.00%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,100.00%,100.00%,30.00%,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2114,Harper SD 66,26,92.31%,76.00% or more,3.85%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2099,Harrisburg SD 7J,101,71.29%,76.00% or more,11.88%,9.00% or less,0.00%,1.70% or less,>95%,95.00%,85.71%,95.00%,33.33%,95.00%,16.67%,26.86%,16.67%,15.52%,*,26.12%,>95%,95.00%,85.71%,95.00%,33.33%,95.00%,<5%,19.71%,16.67%,9.18%,*,5.58%,100.00%,100.00%,81.82%,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,21.93%,23.72%,14.10%,27.88%,*,28.54%,21.05%,18.18%,<5%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,81.82,80.00%,18.18%,12.52%,0.00%,32.00% or more,33.33%,56.00% or more,50.00%,74.00% or more
2201,Helix SD 1,18,88.89%,76.00% or more,0.00%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,100.00%,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2206,Hermiston SD 8,678,79.65%,76.00% or more,12.39%,9.00% or less,0.15%,1.70% or less,>95%,95.00%,>95%,95.00%,88.89%,95.00%,25.42%,26.86%,6.45%,15.52%,<5%,26.12%,>95%,95.00%,91.43%,95.00%,81.08%,95.00%,22.03%,19.71%,<5%,9.18%,<5%,5.58%,100.00%,100.00%,80.00%,84.45%,66.67%,100.00%,11.11%,56.04%,*,48.15%,*,57.10%,<5%,37.35%,*,40.89%,*,44.72%,16.19%,23.72%,36.37%,27.88%,40.62%,28.54%,12.51%,18.18%,20.17%,19.00%,13.31%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,84.38,80.00%,0.00%,12.52%,6.67%,32.00% or more,53.33%,56.00% or more,66.67%,74.00% or more
2239,Hillsboro SD 1J,2887,82.96%,76.00% or more,4.54%,9.00% or less,2.08%,1.70% or less,88.00%,95.00%,82.81%,95.00%,63.87%,95.00%,19.42%,26.86%,14.71%,15.52%,12.33%,26.12%,88.40%,95.00%,79.69%,95.00%,62.61%,95.00%,18.84%,19.71%,10.71%,9.18%,<5%,5.58%,95.60%,100.00%,75.78%,84.45%,87.50%,100.00%,42.86%,56.04%,12.50%,48.15%,50.00%,57.10%,14.29%,37.35%,12.50%,40.89%,33.33%,44.72%,18.93%,23.72%,26.01%,27.88%,30.80%,28.54%,16.08%,18.18%,12.88%,19.00%,15.37%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,72,80.00%,19.11%,12.52%,17.58%,32.00% or more,69.23%,56.00% or more,80.22%,74.00% or more
2024,Hood River County SD,506,79.45%,76.00% or more,5.93%,9.00% or less,0.79%,1.70% or less,92.59%,95.00%,83.78%,95.00%,48.00%,95.00%,14.29%,26.86%,6.45%,15.52%,18.18%,26.12%,92.59%,95.00%,81.08%,95.00%,44.00%,95.00%,12.24%,19.71%,<5%,9.18%,10.00%,5.58%,98.53%,100.00%,80.56%,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,28.06%,23.72%,41.86%,27.88%,32.88%,28.54%,30.41%,18.18%,24.80%,19.00%,22.31%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,82.35,80.00%,11.76%,12.52%,16.67%,32.00% or more,66.67%,56.00% or more,91.67%,74.00% or more
1895,Huntington SD 16J,10,90.00%,76.00% or more,0.00%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2215,Imbler SD 11,29,75.86%,76.00% or more,0.00%,9.00% or less,0.00%,1.70% or less,>95%,95.00%,*,95.00%,*,95.00%,16.67%,26.86%,*,15.52%,*,26.12%,>95%,95.00%,*,95.00%,*,95.00%,33.33%,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,35.33%,23.72%,*,27.88%,*,28.54%,38.67%,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
3997,Ione SD R2,22,81.82%,76.00% or more,4.55%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2053,Jefferson County SD 509J,500,80.40%,76.00% or more,5.20%,9.00% or less,0.40%,1.70% or less,92.50%,95.00%,86.36%,95.00%,71.43%,95.00%,8.33%,26.86%,5.71%,15.52%,8.00%,26.12%,85.00%,95.00%,88.64%,95.00%,80.00%,95.00%,8.82%,19.71%,<5%,9.18%,<5%,5.58%,100.00%,100.00%,78.57%,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,13.34%,23.72%,27.81%,27.88%,23.29%,28.54%,9.45%,18.18%,16.08%,19.00%,8.72%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,68.29,80.00%,26.83%,12.52%,15.79%,32.00% or more,63.16%,56.00% or more,68.42%,74.00% or more
2140,Jefferson SD 14J,108,80.56%,76.00% or more,8.33%,9.00% or less,0.00%,1.70% or less,>95%,95.00%,>95%,95.00%,91.67%,95.00%,<5%,26.86%,<5%,15.52%,12.50%,26.12%,>95%,95.00%,87.50%,95.00%,91.67%,95.00%,<5%,19.71%,*,9.18%,12.50%,5.58%,100.00%,100.00%,*,84.45%,66.67%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,15.91%,23.72%,20.59%,27.88%,45.50%,28.54%,18.18%,18.18%,*,19.00%,<5%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,60,80.00%,33.33%,12.52%,12.50%,32.00% or more,75.00%,56.00% or more,100.00%,74.00% or more
1934,Jewell SD 8,25,72.00%,76.00% or more,4.00%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2008,John Day SD 3,83,71.08%,76.00% or more,6.02%,9.00% or less,1.20%,1.70% or less,88.89%,95.00%,>95%,95.00%,>95%,95.00%,<5%,26.86%,30.00%,15.52%,33.33%,26.12%,88.89%,95.00%,>95%,95.00%,>95%,95.00%,16.67%,19.71%,<5%,9.18%,16.67%,5.58%,100.00%,100.00%,*,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,25.00%,23.72%,18.72%,27.88%,31.19%,28.54%,20.83%,18.18%,17.95%,19.00%,5.91%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2107,Jordan Valley SD 3,*,*,76.00% or more,*,9.00% or less,*,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2219,Joseph SD 6,35,94.29%,76.00% or more,2.86%,9.00% or less,0.00%,1.70% or less,>95%,95.00%,83.33%,95.00%,*,95.00%,28.57%,26.86%,*,15.52%,*,26.12%,>95%,95.00%,50.00%,95.00%,*,95.00%,57.14%,19.71%,*,9.18%,*,5.58%,100.00%,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,18.80%,23.72%,*,27.88%,*,28.54%,<5%,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2091,Junction City SD 69,246,62.20%,76.00% or more,10.98%,9.00% or less,3.66%,1.70% or less,86.36%,95.00%,80.00%,95.00%,27.27%,95.00%,5.56%,26.86%,10.00%,15.52%,<5%,26.12%,86.36%,95.00%,76.00%,95.00%,22.73%,95.00%,11.11%,19.71%,5.26%,9.18%,*,5.58%,92.00%,100.00%,66.67%,84.45%,83.33%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,25.05%,23.72%,32.61%,27.88%,20.69%,28.54%,16.73%,18.18%,20.51%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,58.33,80.00%,25.00%,12.52%,10.00%,32.00% or more,70.00%,56.00% or more,70.00%,74.00% or more
2109,Juntura SD 12,*,*,76.00% or more,*,9.00% or less,*,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2057,Klamath County SD,1092,55.59%,76.00% or more,6.68%,9.00% or less,0.09%,1.70% or less,94.69%,95.00%,83.33%,95.00%,73.24%,95.00%,17.35%,26.86%,<5%,15.52%,21.74%,26.12%,93.81%,95.00%,81.11%,95.00%,73.24%,95.00%,13.27%,19.71%,<5%,9.18%,<5%,5.58%,94.41%,100.00%,70.37%,84.45%,44.44%,100.00%,55.56%,56.04%,87.50%,48.15%,>95%,57.10%,25.00%,37.35%,62.50%,40.89%,83.33%,44.72%,17.57%,23.72%,34.24%,27.88%,44.04%,28.54%,16.07%,18.18%,13.41%,19.00%,30.48%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,86.44,80.00%,1.69%,12.52%,31.82%,32.00% or more,72.73%,56.00% or more,77.27%,74.00% or more
2056,Klamath Falls City Schools,430,84.19%,76.00% or more,9.07%,9.00% or less,0.23%,1.70% or less,82.05%,95.00%,81.48%,95.00%,65.71%,95.00%,<5%,26.86%,<5%,15.52%,<5%,26.12%,82.05%,95.00%,81.48%,95.00%,62.86%,95.00%,6.67%,19.71%,<5%,9.18%,<5%,5.58%,97.50%,100.00%,85.19%,84.45%,91.67%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,25.32%,23.72%,44.44%,27.88%,42.50%,28.54%,20.30%,18.18%,22.47%,19.00%,12.07%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,56.52,80.00%,32.61%,12.52%,20.00%,32.00% or more,60.00%,56.00% or more,66.67%,74.00% or more
2262,Knappa SD 4,101,73.27%,76.00% or more,5.94%,9.00% or less,0.00%,1.70% or less,>95%,95.00%,88.89%,95.00%,*,95.00%,10.00%,26.86%,<5%,15.52%,*,26.12%,>95%,95.00%,88.89%,95.00%,*,95.00%,10.00%,19.71%,<5%,9.18%,*,5.58%,100.00%,100.00%,*,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,15.71%,23.72%,35.48%,27.88%,*,28.54%,15.71%,18.18%,7.41%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,>95,80.00%,0.00%,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2212,La Grande SD 1,377,68.70%,76.00% or more,12.73%,9.00% or less,0.27%,1.70% or less,91.89%,95.00%,85.71%,95.00%,86.96%,95.00%,12.50%,26.86%,7.14%,15.52%,15.00%,26.12%,91.89%,95.00%,82.86%,95.00%,78.26%,95.00%,9.38%,19.71%,<5%,9.18%,<5%,5.58%,90.28%,100.00%,76.19%,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,25.47%,23.72%,33.14%,27.88%,37.55%,28.54%,18.12%,18.18%,18.65%,19.00%,23.58%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,37.14,80.00%,60.00%,12.52%,11.11%,32.00% or more,44.44%,56.00% or more,55.56%,74.00% or more
2059,Lake County SD 7,106,70.75%,76.00% or more,1.89%,9.00% or less,0.00%,1.70% or less,91.67%,95.00%,>95%,95.00%,62.50%,95.00%,<5%,26.86%,7.14%,15.52%,*,26.12%,91.67%,95.00%,>95%,95.00%,62.50%,95.00%,10.00%,19.71%,<5%,9.18%,*,5.58%,88.24%,100.00%,75.00%,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,20.69%,23.72%,35.96%,27.88%,*,28.54%,7.24%,18.18%,27.59%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,80,80.00%,10.00%,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
1923,Lake Oswego SD 7J,728,82.28%,76.00% or more,0.69%,9.00% or less,2.06%,1.70% or less,80.33%,95.00%,84.48%,95.00%,56.67%,95.00%,38.78%,26.86%,36.96%,15.52%,42.31%,26.12%,82.09%,95.00%,77.59%,95.00%,41.67%,95.00%,40.00%,19.71%,27.91%,9.18%,16.67%,5.58%,100.00%,100.00%,77.36%,84.45%,83.33%,100.00%,*,56.04%,*,48.15%,62.50%,57.10%,*,37.35%,*,40.89%,71.43%,44.72%,37.50%,23.72%,36.68%,27.88%,28.02%,28.54%,32.97%,18.18%,34.44%,19.00%,28.91%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,77.94,80.00%,13.24%,12.52%,44.12%,32.00% or more,82.35%,56.00% or more,91.18%,74.00% or more
2101,Lebanon Community SD 9,675,85.63%,76.00% or more,6.52%,9.00% or less,0.30%,1.70% or less,85.00%,95.00%,76.56%,95.00%,24.14%,95.00%,14.58%,26.86%,<5%,15.52%,*,26.12%,85.00%,95.00%,75.00%,95.00%,17.24%,95.00%,16.67%,19.71%,<5%,9.18%,*,5.58%,100.00%,100.00%,74.58%,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,28.72%,23.72%,36.85%,27.88%,*,28.54%,28.16%,18.18%,13.09%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,53.19,80.00%,38.30%,12.52%,6.52%,32.00% or more,63.04%,56.00% or more,69.57%,74.00% or more
2097,Lincoln County SD,737,69.47%,76.00% or more,18.72%,9.00% or less,1.76%,1.70% or less,73.77%,95.00%,75.00%,95.00%,63.49%,95.00%,15.00%,26.86%,12.96%,15.52%,21.88%,26.12%,73.77%,95.00%,71.05%,95.00%,55.56%,95.00%,12.50%,19.71%,<5%,9.18%,<5%,5.58%,98.48%,100.00%,78.79%,84.45%,16.67%,100.00%,*,56.04%,*,48.15%,25.00%,57.10%,*,37.35%,*,40.89%,25.00%,44.72%,21.31%,23.72%,26.94%,27.88%,29.32%,28.54%,17.63%,18.18%,14.31%,19.00%,20.66%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,81.82,80.00%,7.27%,12.52%,18.52%,32.00% or more,59.26%,56.00% or more,66.67%,74.00% or more
2012,Long Creek SD 17,*,*,76.00% or more,*,9.00% or less,*,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2092,Lowell SD 71,124,97.58%,76.00% or more,1.61%,9.00% or less,0.00%,1.70% or less,77.78%,95.00%,81.82%,95.00%,*,95.00%,<5%,26.86%,<5%,15.52%,*,26.12%,77.78%,95.00%,72.73%,95.00%,*,95.00%,<5%,19.71%,<5%,9.18%,*,5.58%,100.00%,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,38.64%,23.72%,38.57%,27.88%,*,28.54%,37.93%,18.18%,21.13%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2085,Mapleton SD 32,18,88.89%,76.00% or more,0.00%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,16.67,80.00%,66.67%,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2094,Marcola SD 79J,81,93.83%,76.00% or more,2.47%,9.00% or less,1.23%,1.70% or less,16.67%,95.00%,44.44%,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,16.67%,95.00%,44.44%,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,100.00%,100.00%,91.67%,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2090,McKenzie SD 68,26,69.23%,76.00% or more,3.85%,9.00% or less,7.69%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
