Institution ID,Institution Name,Total Student Count,LRE Students >80%,LRE Students >80% Target,LRE Students <40%,LRE Students <40% Target,LRE Students Separate Settings,LRE Students Separate Settings Target,Elementary School Participation ELA,Elementary School Participation ELA Target,Middle School Participation ELA,Middle School Participation ELA Target,High School Participation ELA,High School Participation ELA Target,Elementary School Meet/Exceed ELA,Elementary School Meet/Exceed ELA Target,Middle School Meet/Exceed ELA,Middle School Meet/Exceed ELA Target,High School Meet/Exceed ELA,High School Meet/Exceed ELA Target,Elementary School Participation Math,Elementary School Participation Math Target,Middle School Participation Math,Middle School Participation Math Target,High School Participation Math,High School Participation Math Target,Elementary School Meet/Exceed Math,Elementary School Meet/Exceed Math Target,Middle School Meet/Exceed Math,Middle School Meet/Exceed Math Target,High School Meet/Exceed Math,High School Meet/Exceed Math Target,Special Education Eligibility,Special Education Eligibility Target,Parent Involvement,Parent Involvement Target,Secondary Transition,Secondary Transition Target,Alternate Assessment Elementary ELA,Alternate Assessment Elementary ELA Target,Alternate Assessment Middle ELA,Alternate Assessment Middle ELA Target,Alternate Assessment High ELA,Alternate Assessment High School ELA Target,Alternate Assessment Elementary Math,Alternate Assessment Elementary Math Target,Alternate Assessment Middle Math,Alternate Assessment Middle Math Target,Alternate Assessment High Math,Alternate Assessment High School Math Target,Gap In Proficiency Elementary ELA,Gap In Proficiency Elementary ELA Target,Gap In Proficiency Middle ELA,Gap In Proficiency Middle ELA Target,Gap In Proficiency High School ELA,Gap In Proficiency High School ELA Target,Gap In Proficiency Elementary Math,Gap In Proficiency Elementary Math Target,Gap In Proficiency Middle Math,Gap In Proficiency Middle Math Target,Gap In Proficiency High School Math,Gap In Proficiency High School Math Target,IEP 4Yr Cohort Grad 18-19,IEP 4Yr Cohort Grad 18-19 Target,IEP Dropout 18-19,IEP Dropout 18-19 Target,Higher Ed,Higher Ed Target,Higher Ed/Employed,Higher Ed/Employed Target,Higher Ed/Training/Employed,Higher Ed/Training/Employed Target
1895,Huntington SD 16J,8,100.00%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2215,Imbler SD 11,29,89.66%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
3997,Ione SD R2,21,85.71%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2053,Jefferson County SD 509J,478,81.80%,77.00% or more,4.18%,8.70% or less,0.42%,1.60% or less,90.63%,95.00%,84.62%,95.00%,70.83%,95.00%,11.11%,26.90%,<5%,15.63%,<5%,26.83%,87.50%,95.00%,79.49%,95.00%,66.67%,95.00%,<5%,19.91%,<5%,9.47%,<5%,5.85%,100.00%,100.00%,60.00%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,17.39%,23.44%,26.78%,26.94%,39.08%,28.04%,20.77%,17.18%,11.65%,18.00%,8.88%,18.76%,65.31,81.00%,30.61%,12.17%,6.67%,34% or more,76.67%,58% or more,80.00%,76% or more
2140,Jefferson SD 14J,112,78.57%,77.00% or more,8.93%,8.70% or less,0.00%,1.60% or less,>95%,95.00%,87.50%,95.00%,*,95.00%,27.27%,26.90%,<5%,15.63%,*,26.83%,>95%,95.00%,87.50%,95.00%,*,95.00%,9.09%,19.91%,<5%,9.47%,*,5.85%,95.45%,100.00%,*,85.34%,88.89%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,7.11%,23.44%,9.09%,26.94%,*,28.04%,11.22%,17.18%,5.45%,18.00%,*,18.76%,88.89,81.00%,<5%,12.17%,0.00%,34% or more,72.73%,58% or more,72.73%,76% or more
1934,Jewell SD 8,25,88.00%,77.00% or more,4.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2008,John Day SD 3,72,68.06%,77.00% or more,8.33%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,*,85.34%,100.00%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2107,Jordan Valley SD 3,*,*,77.00% or more,*,8.70% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2219,Joseph SD 6,27,100.00%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2091,Junction City SD 69,278,65.83%,77.00% or more,12.59%,8.70% or less,2.16%,1.60% or less,85.00%,95.00%,80.77%,95.00%,84.62%,95.00%,17.65%,26.90%,19.05%,15.63%,20.00%,26.83%,85.00%,95.00%,80.77%,95.00%,76.92%,95.00%,17.65%,19.91%,9.52%,9.47%,*,5.85%,94.87%,100.00%,66.67%,85.34%,83.33%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,27.25%,23.44%,28.78%,26.94%,<5%,28.04%,19.08%,17.18%,10.85%,18.00%,*,18.76%,23.53,81.00%,52.94%,12.17%,0.00%,34% or more,50.00%,58% or more,50.00%,76% or more
2109,Juntura SD 12,*,*,77.00% or more,*,8.70% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2057,Klamath County SD,1106,54.16%,77.00% or more,7.50%,8.70% or less,0.00%,1.60% or less,>95%,95.00%,93.20%,95.00%,92.50%,95.00%,17.02%,26.90%,9.09%,15.63%,9.38%,26.83%,>95%,95.00%,93.20%,95.00%,90.00%,95.00%,19.35%,19.91%,<5%,9.47%,<5%,5.85%,98.16%,100.00%,70.37%,85.34%,12.50%,100.00%,*,63.17%,*,54.79%,50.00%,60.38%,*,44.12%,*,44.13%,40.00%,46.26%,20.92%,23.44%,22.17%,26.94%,45.72%,28.04%,20.13%,17.18%,9.80%,18.00%,19.31%,18.76%,43.75,81.00%,34.38%,12.17%,14.29%,34% or more,60.71%,58% or more,82.14%,76% or more
2056,Klamath Falls City Schools,431,83.06%,77.00% or more,9.98%,8.70% or less,0.00%,1.60% or less,86.49%,95.00%,78.95%,95.00%,75.00%,95.00%,12.50%,26.90%,6.67%,15.63%,18.52%,26.83%,86.49%,95.00%,78.95%,95.00%,75.00%,95.00%,12.50%,19.91%,6.67%,9.47%,<5%,5.85%,97.59%,100.00%,85.19%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,17.32%,23.44%,34.89%,26.94%,19.76%,28.04%,19.48%,17.18%,18.17%,18.00%,11.18%,18.76%,52.63,81.00%,47.37%,12.17%,50.00%,34% or more,83.33%,58% or more,100.00%,76% or more
2262,Knappa SD 4,99,72.73%,77.00% or more,6.06%,8.70% or less,0.00%,1.60% or less,93.33%,95.00%,90.00%,95.00%,*,95.00%,23.08%,26.90%,*,15.63%,*,26.83%,93.33%,95.00%,90.00%,95.00%,*,95.00%,23.08%,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,75.00%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,8.17%,23.44%,*,26.94%,*,28.04%,<5%,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,50.00%,34% or more,100.00%,58% or more,100.00%,76% or more
2212,La Grande SD 1,392,75.26%,77.00% or more,8.93%,8.70% or less,0.00%,1.60% or less,92.86%,95.00%,87.50%,95.00%,84.21%,95.00%,15.79%,26.90%,9.68%,15.63%,14.29%,26.83%,92.86%,95.00%,87.50%,95.00%,84.21%,95.00%,13.16%,19.91%,<5%,9.47%,14.29%,5.85%,89.29%,100.00%,76.19%,85.34%,77.78%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,26.04%,23.44%,36.59%,26.94%,29.04%,28.04%,19.08%,17.18%,27.69%,18.00%,<5%,18.76%,41.38,81.00%,55.17%,12.17%,*,34% or more,*,58% or more,*,76% or more
2059,Lake County SD 7,113,76.99%,77.00% or more,1.77%,8.70% or less,0.88%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,76.47%,100.00%,43.33%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,>95,81.00%,<5%,12.17%,*,34% or more,*,58% or more,*,76% or more
1923,Lake Oswego SD 7J,761,81.87%,77.00% or more,1.05%,8.70% or less,2.10%,1.60% or less,76.92%,95.00%,91.55%,95.00%,58.82%,95.00%,47.46%,26.90%,42.19%,15.63%,29.63%,26.83%,80.77%,95.00%,85.92%,95.00%,60.78%,95.00%,45.16%,19.91%,23.33%,9.47%,17.86%,5.85%,99.51%,100.00%,77.36%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,27.70%,23.44%,34.37%,26.94%,33.73%,28.04%,31.93%,17.18%,35.10%,18.00%,28.99%,18.76%,84.85,81.00%,10.61%,12.17%,44.64%,34% or more,71.43%,58% or more,85.71%,76% or more
2101,Lebanon Community SD 9,682,85.92%,77.00% or more,7.48%,8.70% or less,0.29%,1.60% or less,92.98%,95.00%,63.64%,95.00%,23.08%,95.00%,14.00%,26.90%,<5%,15.63%,*,26.83%,94.74%,95.00%,63.64%,95.00%,17.95%,95.00%,11.76%,19.91%,6.25%,9.47%,*,5.85%,98.77%,100.00%,67.57%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,24.83%,23.44%,36.25%,26.94%,*,28.04%,28.38%,17.18%,17.52%,18.00%,*,18.76%,68.42,81.00%,26.32%,12.17%,9.68%,34% or more,64.52%,58% or more,67.74%,76% or more
2097,Lincoln County SD,709,65.30%,77.00% or more,22.00%,8.70% or less,1.13%,1.60% or less,93.33%,95.00%,76.81%,95.00%,80.77%,95.00%,<5%,26.90%,9.80%,15.63%,16.22%,26.83%,92.00%,95.00%,76.81%,95.00%,73.08%,95.00%,6.78%,19.91%,<5%,9.47%,<5%,5.85%,91.67%,100.00%,78.79%,85.34%,*,100.00%,60.00%,63.17%,*,54.79%,*,60.38%,30.00%,44.12%,*,44.13%,*,46.26%,30.87%,23.44%,21.75%,26.94%,38.06%,28.04%,23.32%,17.18%,10.80%,18.00%,21.50%,18.76%,90.24,81.00%,<5%,12.17%,23.08%,34% or more,73.08%,58% or more,76.92%,76% or more
2012,Long Creek SD 17,*,*,77.00% or more,*,8.70% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2092,Lowell SD 71,121,90.08%,77.00% or more,4.13%,8.70% or less,0.00%,1.60% or less,*,95.00%,84.62%,95.00%,*,95.00%,*,26.90%,<5%,15.63%,*,26.83%,*,95.00%,92.31%,95.00%,*,95.00%,*,19.91%,<5%,9.47%,*,5.85%,100.00%,100.00%,*,85.34%,83.33%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,37.21%,26.94%,*,28.04%,*,17.18%,18.39%,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2085,Mapleton SD 32,26,88.46%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2094,Marcola SD 79J,97,93.81%,77.00% or more,3.09%,8.70% or less,1.03%,1.60% or less,26.09%,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,26.09%,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,91.67%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2090,McKenzie SD 68,33,75.76%,77.00% or more,3.03%,8.70% or less,9.09%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2256,McMinnville SD 40,899,76.53%,77.00% or more,12.90%,8.70% or less,0.33%,1.60% or less,86.96%,95.00%,94.52%,95.00%,81.40%,95.00%,20.34%,26.90%,19.05%,15.63%,16.42%,26.83%,86.96%,95.00%,94.52%,95.00%,81.40%,95.00%,8.47%,19.91%,14.29%,9.47%,5.97%,5.85%,87.18%,100.00%,79.07%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,21.64%,23.44%,33.26%,26.94%,44.71%,28.04%,28.32%,17.18%,29.00%,18.00%,19.47%,18.76%,77.63,81.00%,9.21%,12.17%,25.81%,34% or more,87.10%,58% or more,87.10%,76% or more
2048,Medford SD 549C,2121,78.03%,77.00% or more,13.86%,8.70% or less,0.71%,1.60% or less,93.43%,95.00%,90.10%,95.00%,71.30%,95.00%,24.23%,26.90%,14.74%,15.63%,12.16%,26.83%,92.96%,95.00%,90.10%,95.00%,64.35%,95.00%,22.28%,19.91%,5.13%,9.47%,<5%,5.85%,97.89%,100.00%,74.07%,85.34%,*,100.00%,*,63.17%,58.82%,54.79%,*,60.38%,*,44.12%,29.41%,44.13%,*,46.26%,17.44%,23.44%,32.62%,26.94%,42.36%,28.04%,13.13%,17.18%,18.68%,18.00%,20.67%,18.76%,60.71,81.00%,33.93%,12.17%,14.04%,34% or more,68.42%,58% or more,75.44%,76% or more
2205,Milton-Freewater Unified SD 7,237,72.15%,77.00% or more,3.38%,8.70% or less,0.00%,1.60% or less,>95%,95.00%,86.67%,95.00%,>95%,95.00%,5.56%,26.90%,<5%,15.63%,<5%,26.83%,>95%,95.00%,80.00%,95.00%,93.33%,95.00%,5.56%,19.91%,*,9.47%,<5%,5.85%,88.37%,100.00%,57.14%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,19.00%,23.44%,33.60%,26.94%,40.17%,28.04%,21.40%,17.18%,*,18.00%,13.16%,18.76%,80,81.00%,12.00%,12.17%,14.29%,34% or more,71.43%,58% or more,85.71%,76% or more
2249,Mitchell SD 55,160,84.38%,77.00% or more,14.37%,8.70% or less,0.00%,1.60% or less,78.57%,95.00%,70.00%,95.00%,86.96%,95.00%,<5%,26.90%,14.29%,15.63%,15.00%,26.83%,78.57%,95.00%,65.00%,95.00%,82.61%,95.00%,9.09%,19.91%,7.69%,9.47%,5.26%,5.85%,91.30%,100.00%,68.18%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,29.58%,23.44%,23.85%,26.94%,29.72%,28.04%,12.04%,17.18%,11.44%,18.00%,17.88%,18.76%,*,81.00%,*,12.17%,30.00%,34% or more,100.00%,58% or more,100.00%,76% or more
1925,Molalla River SD 35,426,81.22%,77.00% or more,3.29%,8.70% or less,3.05%,1.60% or less,87.76%,95.00%,>95%,95.00%,64.71%,95.00%,13.16%,26.90%,6.67%,15.63%,28.57%,26.83%,85.71%,95.00%,>95%,95.00%,58.82%,95.00%,13.51%,19.91%,<5%,9.47%,25.00%,5.85%,81.67%,100.00%,73.33%,85.34%,83.33%,100.00%,*,63.17%,27.27%,54.79%,*,60.38%,*,44.12%,45.45%,44.13%,*,46.26%,18.21%,23.44%,29.35%,26.94%,19.67%,28.04%,17.68%,17.18%,17.61%,18.00%,17.68%,18.76%,34.48,81.00%,62.07%,12.17%,8.33%,34% or more,58.33%,58% or more,66.67%,76% or more
1898,Monroe SD 1J,50,68.00%,77.00% or more,14.00%,8.70% or less,2.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2010,Monument SD 8,9,100.00%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2147,Morrow SD 1,369,90.79%,77.00% or more,2.98%,8.70% or less,0.27%,1.60% or less,>95%,95.00%,>95%,95.00%,88.00%,95.00%,14.71%,26.90%,6.25%,15.63%,5.00%,26.83%,>95%,95.00%,>95%,95.00%,84.00%,95.00%,11.76%,19.91%,<5%,9.47%,5.26%,5.85%,94.23%,100.00%,88.14%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,16.58%,23.44%,26.31%,26.94%,46.63%,28.04%,20.14%,17.18%,12.66%,18.00%,9.31%,18.76%,84.21,81.00%,5.26%,12.17%,22.22%,34% or more,66.67%,58% or more,88.89%,76% or more
2145,Mt Angel SD 91,95,72.63%,77.00% or more,3.16%,8.70% or less,2.11%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,68.18%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,55.56,81.00%,44.44%,12.17%,*,34% or more,*,58% or more,*,76% or more
1968,Myrtle Point SD 41,81,70.37%,77.00% or more,11.11%,8.70% or less,0.00%,1.60% or less,>95%,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,>95%,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,93.33%,100.00%,90.00%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2198,Neah-Kah-Nie SD 56,103,70.87%,77.00% or more,8.74%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,>95%,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,>95%,95.00%,*,19.91%,*,9.47%,*,5.85%,95.00%,100.00%,66.67%,85.34%,14.29%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,70,81.00%,15.00%,12.17%,50.00%,34% or more,83.33%,58% or more,83.33%,76% or more
2199,Nestucca Valley SD 101J,68,72.06%,77.00% or more,8.82%,8.70% or less,2.94%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,66.67%,100.00%,77.78%,85.34%,85.71%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2254,Newberg SD 29J,646,87.62%,77.00% or more,0.93%,8.70% or less,0.93%,1.60% or less,93.33%,95.00%,86.89%,95.00%,66.67%,95.00%,20.41%,26.90%,14.00%,15.63%,24.00%,26.83%,93.33%,95.00%,88.52%,95.00%,60.00%,95.00%,28.57%,19.91%,<5%,9.47%,<5%,5.85%,98.86%,100.00%,73.21%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,26.16%,23.44%,34.94%,26.94%,29.04%,28.04%,17.83%,17.18%,34.63%,18.00%,38.18%,18.76%,89.09,81.00%,<5%,12.17%,28.00%,34% or more,60.00%,58% or more,84.00%,76% or more
1966,North Bend SD 13,557,70.02%,77.00% or more,9.16%,8.70% or less,0.36%,1.60% or less,71.43%,95.00%,67.86%,95.00%,45.61%,95.00%,33.33%,26.90%,<5%,15.63%,22.73%,26.83%,74.29%,95.00%,67.86%,95.00%,49.12%,95.00%,45.45%,19.91%,<5%,9.47%,12.50%,5.85%,98.78%,100.00%,81.58%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,16.67%,23.44%,34.56%,26.94%,27.01%,28.04%,5.63%,17.18%,22.51%,18.00%,8.06%,18.76%,56.52,81.00%,23.91%,12.17%,9.09%,34% or more,54.55%,58% or more,63.64%,76% or more
1924,North Clackamas SD 12,2797,66.57%,77.00% or more,10.87%,8.70% or less,0.79%,1.60% or less,84.56%,95.00%,82.93%,95.00%,79.17%,95.00%,20.26%,26.90%,10.53%,15.63%,17.76%,26.83%,84.56%,95.00%,74.63%,95.00%,76.39%,95.00%,20.18%,19.91%,10.37%,9.47%,<5%,5.85%,98.95%,100.00%,74.93%,85.34%,*,100.00%,42.86%,63.17%,16.67%,54.79%,47.37%,60.38%,15.38%,44.12%,22.22%,44.13%,42.11%,46.26%,24.70%,23.44%,27.40%,26.94%,34.15%,28.04%,21.14%,17.18%,20.24%,18.00%,20.25%,18.76%,>95,81.00%,<5%,12.17%,23.29%,34% or more,68.49%,58% or more,72.60%,76% or more
1996,North Douglas SD 22,74,66.22%,77.00% or more,13.51%,8.70% or less,1.35%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,90.91%,100.00%,66.67%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2061,North Lake SD 14,50,96.00%,77.00% or more,2.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,77.78%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,50,81.00%,50.00%,12.17%,*,34% or more,*,58% or more,*,76% or more
